Name,Description,Location,Price,Url,Image
4 Bed House with En Suite in Runda,4 Bed House with En Suite in Runda,"Runda, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-runda-2-3574587,https://i.roamcdn.net/prop/brk/listing-thumb-376w/e83c715dcb83ee43d0a02b68ff970be1/-/prod-property-core-backend-media-brk/4796708/3a48067f-38b9-470c-bf51-585ea70be56a.jpg
5 Bed House with En Suite in Karen,5 Bed House with En Suite in Karen,Karen,"KSh 700,000",/listings/furnished-5-bedroom-house-for-rent-karen-3644024,https://i.roamcdn.net/prop/brk/listing-thumb-376w/51b265bfb6e44927b442ac6b682f8327/-/prod-property-core-backend-media-brk/5820727/a4c5384d-28f9-48f7-9567-d36cc91110ad.jpg
4 Bed Townhouse with En Suite in Runda,4 Bed Townhouse with En Suite in Runda,"Runda, Westlands","KSh 350,000",/listings/4-bedroom-townhouse-for-rent-runda-3610897,https://i.roamcdn.net/prop/brk/listing-thumb-376w/370b484ad6dbc50cc3f3a4cd615fb0bf/-/prod-property-core-backend-media-brk/5779186/22b10f96-0263-4171-b9c0-3ea62ba9722c.jpeg
4 Bed Townhouse with En Suite at Lavington,4 Bed Townhouse with En Suite at Lavington,Lavington,"KSh 200,000",/listings/4-bedroom-townhouse-for-rent-lavington-3648238,https://i.roamcdn.net/prop/brk/listing-thumb-376w/981b84d216a425882d910e9edb917cbb/-/prod-property-core-backend-media-brk/5882496/acb79740-22b7-48c3-b278-0f43889bed69.jpg
5 Bed Townhouse with En Suite in Lavington,5 Bed Townhouse with En Suite in Lavington,Lavington,"KSh 250,000",/listings/5-bedroom-townhouse-for-rent-lavington-3620534,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1a188bc8b637e33f3ec6b2e3b1fd1bb8/-/prod-property-core-backend-media-brk/5473401/4cfa3f63-1122-49c5-b303-bbdd2cff8612.jpg
2 Bed House with En Suite at Runda,2 Bed House with En Suite at Runda,"Runda, Westlands","KSh 150,000",/listings/2-bedroom-house-for-rent-runda-3641972,https://i.roamcdn.net/prop/brk/listing-thumb-376w/245f5a1186ea528b0469498ed45fad4f/-/prod-property-core-backend-media-brk/5791349/7d206814-3824-4fad-a83c-c146fad66bb7.jfif
5 Bed Townhouse with En Suite in Loresho,5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands","KSh 350,000",/listings/5-bedroom-townhouse-for-rent-loresho-3643649,https://i.roamcdn.net/prop/brk/listing-thumb-376w/689f6a65affe3717998912b0c701bb56/-/prod-property-core-backend-media-brk/5815199/a176e724-9916-4112-be29-d324d32f2a3f.jpg
6 Bed House with En Suite at Kileleshwa,6 Bed House with En Suite at Kileleshwa,Kileleshwa,"KSh 300,000",/listings/6-bedroom-house-for-rent-kileleshwa-3604618,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7865c9c8696960b8d59febfe9c74ae98/-/prod-property-core-backend-media-brk/5227698/9e80f519-4545-4b30-bed6-f26061bc0218.jpg
3 Bed House with Garden in Karen,3 Bed House with Garden in Karen,Karen,"KSh 150,000",/listings/3-bedroom-house-for-rent-karen-3626134,https://i.roamcdn.net/prop/brk/listing-thumb-376w/103bf7e77f466095a36186aa4557b4c3/-/prod-property-core-backend-media-brk/5556874/dedcda01-6772-4df1-8d7b-eae44fee2c23.jpg
2 Bed House in Karen,2 Bed House in Karen,Karen,"KSh 180,000",/listings/2-bedroom-house-for-rent-karen-3616352,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8e0298f2be598757e1011d7092039280/-/prod-property-core-backend-media-brk/5410082/8cebc162-cea0-4847-b626-6bdff34b0a2b.jpg
